"","X","shortnam","avexpr","logem4","lat_abst","euro1900","logpgp95","GDP2018","GovEff"
"1",1,"AFG",NA,4.54009819030762,0.366666674613953,0,NA,2225.76133638097,7.692307
"2",2,"AGO",5.36363649368286,5.63478946685791,0.136666670441628,8,7.77064514160156,7092.99031877148,13.94231
"3",3,"ARE",7.18181800842285,NA,0.266666680574417,0,9.80421924591064,67549.6246752321,90.38461
"4",4,"ARG",6.38636350631714,4.23265600204468,0.37777778506279,60.0000038146973,9.13345909118652,23299.9827657757,54.80769
"5",5,"ARM",NA,NA,0.444444447755814,0,7.68248224258423,13024.6882886997,51.44231
"6",6,"AUS",9.31818199157715,2.14593124389648,0.300000011920929,98,9.89797210693359,51036.4058896921,92.78846
"7",7,"AUT",9.72727298736572,NA,0.524444460868835,100,9.97487735748291,56871.2113998202,90.86539
"8",8,"AZE",NA,NA,0.447777777910233,0,7.30653142929077,14543.1949302166,49.03846
"9",9,"BDI",NA,5.63478946685791,0.0366666652262211,0,6.56526517868042,780.074546597704,8.173077
"10",10,"BEL",9.68181800842285,NA,0.561111092567444,100,9.99287128448486,52253.9816274533,83.65385
"11",11,"BEN",NA,5.58544921875,0.103333339095116,0,7.09007692337036,3237.77206130646,32.69231
"12",12,"BFA",4.45454549789429,5.63478946685791,0.144444450736046,0,6.84588003158569,1904.94123388765,31.25
"13",13,"BGD",5.13636350631714,4.26843786239624,0.266666680574417,0,6.87729597091675,4549.61392841255,21.63461
"14",14,"BGR",8.90909099578857,NA,0.477777779102325,100,8.45744323730469,22304.9448471394,62.98077
"15",15,"BHR",8,NA,0.288888901472092,0,9.68595314025879,47296.9869532702,59.61538
"16",16,"BHS",7.5,4.44265127182007,0.268333315849304,10,9.28544807434082,36365.3199194126,71.63461
"17",17,"BIH",NA,NA,0.488888889551163,100,NA,14962.0374031868,28.36539
"18",18,"BLR",NA,NA,0.588888883590698,100,8.34045600891113,19345.2705088125,40.38462
"19",19,"BLZ",NA,5.09558916091919,0.190555557608604,20,8.37793159484863,7360.02650397217,30.28846
"20",20,"BOL",5.63636350631714,4.26268005371094,0.188888892531395,30.0000019073486,7.92660236358643,8866.37453732968,39.90385
"21",21,"BRA",7.90909099578857,4.26268005371094,0.111111111938953,40,8.72745418548584,14951.8035094155,36.05769
"22",22,"BRB",NA,4.44265127182007,0.145555555820465,20,9.26672077178955,16107.0332430775,68.75
"23",23,"BTN",NA,NA,0.303333312273026,0,NA,11621.8143494682,67.30769
"24",24,"BWA",7.72727251052856,NA,0.244444444775581,0,8.85509300231934,18059.3376640674,65.38461
"25",25,"CAF",NA,5.63478946685791,0.0777777805924416,0,7.19293403625488,955.839638441268,2.884615
"26",26,"CAN",9.72727298736572,2.77881932258606,0.666666686534882,99,9.98644924163818,49994.087933693,94.71154
"27",27,"CHE",10,NA,0.522222220897675,100,10.120210647583,69366.437923048,99.51923
"28",28,"CHL",7.81818199157715,4.23265600204468,0.333333343267441,50,9.33609199523926,24763.0021879198,81.73077
"29",29,"CHN",7.77272748947144,4.77068471908569,0.388888895511627,0,7.88608121871948,15376.2062117137,69.71154
"30",30,"CIV",7,6.50428819656372,0.0888888910412788,0,7.44424867630005,3832.13044575611,31.73077
"31",31,"CMR",6.45454549789429,5.63478946685791,0.0666666701436043,0,7.50108194351196,3691.32955271229,19.71154
"32",32,"COG",4.68181800842285,5.48063898086548,0.0111111113801599,0,7.420578956604,3357.60399876913,10.09615
"33",33,"COL",7.31818199157715,4.26268005371094,0.0444444455206394,20,8.80986309051514,14834.4492878281,50
"34",34,"COM",NA,NA,0.134444445371628,5,7.38398933410645,3141.54450193196,3.846154
"35",35,"CPV",NA,NA,0.177777782082558,5,7.97933912277222,7068.10788005251,64.42308
"36",36,"CRI",7.04545450210571,4.35799026489258,0.111111111938953,20,8.79482460021973,19762.4501323772,67.78846
"37",37,"CZE",8.8636360168457,NA,0.549444437026978,100,9.20432186126709,40428.6729915945,78.36539
"38",38,"DEU",NA,NA,0.566666662693024,100,9.93547058105469,54456.9292560641,93.26923
"39",39,"DJI",NA,3.25809645652771,0.12555555999279,0,NA,5224.97785008253,17.30769
"40",40,"DNK",9.72727298736572,NA,0.622222244739532,100,10.0055923461914,57218.406447274,97.11539
"41",41,"DOM",6.18181800842285,4.86753463745117,0.21111111342907,25,8.36404228210449,18143.2153942591,39.42308
"42",42,"DZA",6.5,4.35926961898804,0.311111122369766,13,8.38935947418213,11759.1965868806,37.01923
"43",43,"ECU",6.54545450210571,4.26268005371094,0.0222222227603197,30.0000019073486,8.47010135650635,11853.6579443732,42.78846
"44",44,"EGY",6.77272748947144,4.21656227111816,0.300000011920929,0,7.95155954360962,11643.2146678871,30.76923
"45",45,"ERI",NA,NA,0.16666667163372,0,6.62007331848145,NA,2.403846
"46",46,"ESP",9.68181800842285,NA,0.444444447755814,100,9.61846828460693,40483.6392132445,79.32692
"47",47,"EST",NA,NA,0.655555546283722,100,8.39389514923096,36358.0277629012,84.61539
"48",48,"ETH",5.72727251052856,3.25809645652771,0.0888888910412788,0,6.10924768447876,2154.36018616765,29.32692
"49",49,"FIN",9.72727298736572,NA,0.711111128330231,100,9.82606601715088,49549.3935925112,99.03846
"50",50,"FJI",NA,2.43361330032349,0.200000002980232,NA,8.30152130126953,14144.423161592,62.5
"51",51,"FRA",9.72727298736572,1.05779027938843,0.51111114025116,100,9.96364116668701,46447.4399160547,91.82692
"52",52,"GAB",7.81818199157715,5.63478946685791,0.0111111113801599,0,8.90788269042969,15102.5311864263,18.75
"53",53,"GBR",9.77272701263428,0.936093330383301,0.600000023841858,100,9.87817001342773,46867.9162109276,87.98077
"54",54,"GEO",NA,NA,0.466666668653488,100,7.37148952484131,14594.6736925004,74.03846
"55",55,"GHA",6.27272748947144,6.50428819656372,0.0888888910412788,0,7.36518001556396,5320.97296936302,46.15385
"56",56,"GIN",6.54545450210571,6.18001651763916,0.122222222387791,0,7.48997068405151,2555.90759007084,16.34615
"57",57,"GMB",8.27272701263428,7.29301786422729,0.147555559873581,0,7.27239847183228,2196.45731680112,27.40385
"58",58,"GNB",4.54545450210571,5.10388278961182,0.133333340287209,0,NA,1996.65857298329,7.211538
"59",59,"GRC",7.81818199157715,NA,0.433333337306976,100,9.39764976501465,30357.6187138529,65.86539
"60",60,"GTM",5.13636350631714,4.26268005371094,0.170000001788139,20,8.29404926300049,8655.41991843503,23.55769
"61",61,"GUY",5.88636350631714,3.47134518623352,0.0555555559694767,2,7.90470409393311,9538.98594243395,41.82692
"62",62,"HKG",8.1363639831543,2.70136117935181,0.246111109852791,4,10.049750328064,62726.622105883,98.07692
"63",63,"HND",5.31818199157715,4.35799026489258,0.16666667163372,20,7.68708038330078,5810.4265985708,27.88461
"64",64,"HRV",NA,NA,0.501111090183258,100,8.41847705841064,28115.4632859272,69.23077
"65",65,"HTI",3.72727274894714,4.86753463745117,0.21111111342907,0,7.14677238464355,1810.22365742019,1.442308
"66",66,"HUN",9,NA,0.522222220897675,100,8.80986309051514,31578.7598003737,70.19231
"67",67,"IDN",7.59090900421143,5.13579845428467,0.0555999986827374,0,8.0709056854248,11646.4702926616,59.13462
"68",68,"IND",8.27272701263428,3.88424062728882,0.222200006246567,0,7.32600021362305,6697.15779767093,63.94231
"69",69,"IRL",9.72727298736572,NA,0.588888883590698,NA,9.76938438415527,84459.7731039696,89.90385
"70",70,"IRN",4.77272748947144,NA,0.355555564165115,0,8.60520362854004,NA,37.5
"71",71,"IRQ",1.63636362552643,NA,0.366666674613953,0,NA,10919.8626897784,9.134615
"72",72,"ISL",9.72727298736572,NA,0.722222208976746,100,9.94366931915283,58058.2169981847,91.34615
